Entry,Drying,Purpose,Shape,First materials,Second materials,Modification,First material class,Second materials class,Modification class,Gelation class,Solvent class,Process,Gelation mechanism,Final solvent,Drying details,Post drying treatment,Post-drying cross-linking,Envelope density g/cm3,Porosity,BET surface area m2/g,BJH pore size nm,BJH pore volume (total) cm3/g,compression elastic modulus MPa,SEM,Thermal conductivity W/(m K),Thermal method,Thermal method detail,,
74,SCD,Thermal insulation,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 300),Chemical (polymerization),Acetone,SCD,,,0.1,,,,,,Mesoporous (nanoparticulate),0.016,Transient,Hot wire,,
75,SCD,Thermal insulation,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 300),Chemical (polymerization),Acetone,SCD,,,0.14,,,,,,Mesoporous (nanoparticulate),0.015,Transient,Hot wire,,
76,SCD,Thermal insulation,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 300),Chemical (polymerization),Acetone,SCD,,,0.18,,,,,,Mesoporous (nanoparticulate),0.013,Transient,Hot wire,,
77,SCD,Thermal insulation,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 300),Chemical (polymerization),Acetone,SCD,,,0.28,,,,,,Mesoporous (nanoparticulate),0.016,Transient,Hot wire,,
78,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution,Chemical (polymerization),Acetone,SCD,,,,,,,,,,,,,,
79,SCD,Not specific,Monolith,MF,,,I,,,cp,ow,Melamin-formaldehyde solution (pH = 2),Chemical (polymerization),Acetone,SCD,,,0.16,,970,,,,Mesoporous (nanoparticulate),,,,,
80,SCD,Not specific,Monolith,MF,,,I,,,cp,ow,Melamin-formaldehyde solution (pH = 0.5),Chemical (polymerization),Acetone,SCD,,,0.13,,850,,,,Mesoporous (nanoparticulate),,,,,
81,SCD,Not specific,Beads,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution in W/O emulsion?,Chemical (polymerization),Acetone,SCD,,,,,,,,,,,,,,
82,SCD,Not specific,Beads,RF,,Carbonized,I,,Ca,cp,ow,Resorcinol-formaldehyde-NaCO3 solution in W/O emulsion?,Chemical (polymerization),Acetone,SCD,Post-carbonization,,,,,,,,,,,,,
83,FD,DDS,Monolith,Chitosan,PEG,,A,E,,cc,wa,Chitosan solution + PEO solution + glyoxal + NaOH solution (frozen),Chemical (aldehyde),Water,FD,,,,,,,,,Macroporous (cellular),,,,,
84,APD,Not specific,Monolith,PMMA,,,R,,,cp,uk,"MMA-tetraoctadecylammonium bromide in divinylbenzen-ethylvinylbenzene-benzoin ethyl ether (freeze-thaw, UV irradiated)",Chemical (polymerization),Unknown,APD?,Reflex to remove tetraoctadecylammonium bromide,,,,,,,,Mesoporous?,,,,,
85,APD,Not specific,Monolith,Polystyrene,,,J,,,cp,uk,"Stylene-tetraoctadecylammonium bromide in divinylbenzen-ethylvinylbenzene-benzoin ethyl ether (freeze-thaw, UV irradiated)",Chemical (polymerization),Unknown,APD?,Reflex to remove tetraoctadecylammonium bromide,,,,,,,,Mesoporous?,,,,,
86,APD,Adsorbent,Beads,Humic acid,,,C,,,uk,wa,Extracts from Pilayella littoralis,Unknown,Water,APD,,,,,,,,,Mesoporous (nanoparticulate),,,,,
87,FD,Adsorbent,Beads,Humic acid,,,C,,,uk,wa,Extracts from Pilayella littoralis,Unknown,Water,FD,,,,,,,,,Macroporous (flakes),,,,,
88,SCD,Adsorbent,Beads,Humic acid,,,C,,,uk,ow,Extracts from Pilayella littoralis,Unknown,Acetone,SCD,,,,,,,,,Mesoporous (nanoparticulate),,,,,
89,FD,DDS,Monolith,Chitosan,,Drug loading,A,,Lo,pp,wa,Chitosan solution + ethanol-drug (frozen),Physical (antisolvent),Water,FD,,,,,,,,,Macroporous (flakes),,,,,
90,FD,DDS,Monolith,Chitosan,,Drug loading,A,,Lo,cc,wa,Chitosan solution + glutaraldehyde solution + ethanol-drug,Chemical (aldehyde),Water,FD,,,,,,,,,Macroporous (flakes),,,,,
91,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution,Chemical (polymerization),Acetone,SCD,,,,,,,,,Mesoporous (nanoparticulate),,,,,
92,SCD,Not specific,Monolith,RF,,Carbonized,I,,Ca,cp,ow,Resorcinol-formaldehyde-NaCO3 solution,Chemical (polymerization),Acetone,SCD,Post-calcination at 1050 °C,,,,,,,,Mesoporous (nanoparticulate),,,,,
93,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R100),Chemical (polymerization),Acetone,SCD,,,0.102,,,,,,,,,,,
94,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R100),Chemical (polymerization),Acetone,SCD,Post-heat treatment at 100 °C,,0.105,,,,,,,,,,,
95,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R200),Chemical (polymerization),Acetone,SCD,,,0.206,,,,,,,,,,,
96,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R200),Chemical (polymerization),Acetone,SCD,Post-heat treatment at 100 °C,,0.211,,,,,,,,,,,
97,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R300),Chemical (polymerization),Acetone,SCD,,,0.309,,,,,,,,,,,
98,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R300),Chemical (polymerization),Acetone,SCD,Post-heat treatment at 100 °C,,0.307,,,,,,,,,,,
99,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R400, no.1)",Chemical (polymerization),Acetone,SCD,,,0.409,,,,,,,,,,,
100,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R400, no.1)",Chemical (polymerization),Acetone,SCD,Post-heat treatment at 100 °C,,0.408,,,,,,,,,,,
101,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R400, no.2)",Chemical (polymerization),Acetone,SCD,,,0.411,,,,,,,,,,,
102,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R400, no.2)",Chemical (polymerization),Acetone,SCD,Post-heat treatment at 100 °C,,0.408,,,,,,,,,,,
103,SCD,Not specific,Beads,RF,,,I,,,cp,al,"Resorcinol-formaldehyde-NaCO3 solution (RC = 100, F/R = 2) in isopropanol/O emulsion",Chemical (polymerization),Isopropanol,SCD,,,0.08,,,,,,,,,,,
104,SCD,Not specific,Beads,RF,,,I,,,cp,al,"Resorcinol-formaldehyde-NaCO3 solution (RC = 100, F/R = 3) in isopropanol/O emulsion",Chemical (polymerization),Isopropanol,SCD,,,0.065,,,,,,,,,,,
105,SCD,Not specific,Beads,RF,,,I,,,cp,al,"Resorcinol-formaldehyde-NaCO3 solution (RC = 200, F/R = 2) in isopropanol/O emulsion",Chemical (polymerization),Isopropanol,SCD,,,0.064,,,,,,,,,,,
106,SCD,Not specific,Beads,RF,,,I,,,cp,al,"Resorcinol-formaldehyde-NaCO3 solution (RC = 200, F/R = 3) in isopropanol/O emulsion",Chemical (polymerization),Isopropanol,SCD,,,0.06,,,,,,,,,,,
107,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = ~50),Chemical (polymerization),Acetone?,SCD,,,,,800,,,,,,,,,
108,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = ~100),Chemical (polymerization),Acetone?,SCD,,,,,700,,,,,,,,,
109,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = ~200),Chemical (polymerization),Acetone?,SCD,,,,,600,,,,,,,,,
110,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = ~300),Chemical (polymerization),Acetone?,SCD,,,,,500,,,,,,,,,
111,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = ~400),Chemical (polymerization),Acetone?,SCD,,,,,500,,,,,,,,,
112,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = ~500),Chemical (polymerization),Acetone?,SCD,,,,,400,,,,,,,,,
113,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = ~600),Chemical (polymerization),Acetone?,SCD,,,,,300,,,,,,,,,
114,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = ~700),Chemical (polymerization),Acetone?,SCD,,,,,250,,,,,,,,,
115,APD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 1000, aging cycle 0/4/0)",Chemical (polymerization),Acetone,APD,,,,,147,,,,,,,,,
116,APD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 1000, aging cycle 1/4/0)",Chemical (polymerization),Acetone,APD,,,,,121,,,,,,,,,
117,APD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 1000, aging cycle 2/4/0)",Chemical (polymerization),Acetone,APD,,,,,109,,,,,,,,,
118,APD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 1000, aging cycle 3/4/0)",Chemical (polymerization),Acetone,APD,,,,,94,,,,,,,,,
