Entry,Drying,Purpose,Shape,First materials,Second materials,Modification,First material class,Second materials class,Modification class,Gelation class,Solvent class,Process,Gelation mechanism,Final solvent,Drying details,Post drying treatment,Post-drying cross-linking,Envelope density g/cm3,Porosity,BET surface area m2/g,BJH pore size nm,BJH pore volume (total) cm3/g,compression elastic modulus MPa,SEM,Thermal conductivity W/(m K),Thermal method,Thermal method detail,,
12593,FD,Wound dressing,Monolith (3D),Poly(glycoside-co-lactide),"Poly-p-dioxanone, gelatin",,F,"F, C",,cc,wa,Poly(glycoside-co-lactide)-gelatin in hexafluoroisopropanol solution (electrospun) + glutaraldehyde vapor (frozen),Chemical (aldehyde),Water,FD,,,,,,,,,Macroporous (cellular),,,,,
12594,SCD,"Adsorbent, thermal insulation",Monolith,Aramid fibers,,,K,,,pp,ow,Aramid fiber (1 wt%) suspension in CaCl2-N-methyl pyrrolidone + acetone,Physical (antisolvent),Acetone,SCD,,,0.086,94.81%,377,,,,Mesoporous (nanoparticulate),0.029,Transient,Flash,,
12595,SCD,"Adsorbent, thermal insulation",Monolith,Aramid fibers,,,K,,,pp,ow,Aramid fiber (1.5 wt%) suspension in CaCl2-N-methyl pyrrolidone + acetone,Physical (antisolvent),Acetone,SCD,,,0.089,94.66%,288,,,,Mesoporous (nanoparticulate),0.031,Transient,Flash,,
12596,SCD,"Adsorbent, thermal insulation",Monolith,Aramid fibers,,,K,,,pp,ow,Aramid fiber (2 wt%) suspension in CaCl2-N-methyl pyrrolidone + acetone,Physical (antisolvent),Acetone,SCD,,,0.125,90.65%,432,,,,Mesoporous (nanoparticulate),0.035,Transient,Flash,,
12597,SCD,"Adsorbent, thermal insulation",Monolith,Aramid fibers,,,K,,,pp,ow,Aramid fiber (3 wt%) suspension in CaCl2-N-methyl pyrrolidone + acetone,Physical (antisolvent),Acetone,SCD,,,0.156,89.42%,457,,,,Mesoporous (nanoparticulate),0.045,Transient,Flash,,
12598,FD,Adsorbent,Monolith,Cellulose acetate,Polypyrrole,,B,M,,ng,wa,Cellulose acetate solution in acetone-DMAc (ewet spun) + ammonium persulfate + pyrrole (0.5:1) (frozen),No gelation?,Water,FD,,,0.02,,,,,,Macroporous (fibrous),,,,,
12599,FD,Adsorbent,Monolith,Cellulose acetate,Polypyrrole,,B,M,,ng,wa,Cellulose acetate solution in acetone-DMAc (ewet spun) + ammonium persulfate + pyrrole (1:1) (frozen),No gelation?,Water,FD,,,0.02,,,,,,Macroporous (fibrous),,,,,
12600,FD,Adsorbent,Monolith,Cellulose acetate,Polypyrrole,,B,M,,ng,wa,Cellulose acetate solution in acetone-DMAc (ewet spun) + ammonium persulfate + pyrrole (2:1) (frozen),No gelation?,Water,FD,,,0.021,,,,,,Macroporous (fibrous),,,,,
12601,FD,Adsorbent,Monolith,Cellulose acetate,Polypyrrole,,B,M,,ng,wa,Cellulose acetate solution in acetone-DMAc (ewet spun) + ammonium persulfate + pyrrole (3:1) (frozen),No gelation?,Water,FD,,,0.022,,,,,,Macroporous (fibrous),,,,,
12602,FD,Adsorbent,Monolith,Cellulose acetate,Polypyrrole,,B,M,,ng,wa,Cellulose acetate solution in acetone-DMAc (ewet spun) + ammonium persulfate + pyrrole (5:1) (frozen),No gelation?,Water,FD,,,0.022,,,,,,Macroporous (fibrous),,,,,
12603,FD,Adsorbent,Monolith,PET fibers,PVA,,K,E,,cp,wa,PVA solution + terephthalic acid + HCl (frozen),Chemical (polymerization)?,Water,FD,,,0.07,95.66%,,,,,Macroporous (flakes),,,,,
12604,FD,Adsorbent,Monolith,PET fibers,"GO, PVA",,K,"N, E",,cp,wa,GO (1 g/L) suspension + PVA + terephthalic acid + HCl (frozen),Chemical (polymerization)?,Water,FD,,,0.027,99.25%,,,,,Macroporous (flakes),,,,,
12605,FD,Adsorbent,Monolith,PET fibers,"GO, PVA",,K,"N, E",,cp,wa,GO (3 g/L) suspension + PVA + terephthalic acid + HCl (frozen),Chemical (polymerization)?,Water,FD,,,0.024,99.32%,,,,,Macroporous (flakes),,,,,
12606,FD,Adsorbent,Monolith,PET fibers,"GO, PVA",,K,"N, E",,cp,wa,GO (5 g/L) suspension + PVA + terephthalic acid + HCl (frozen),Chemical (polymerization)?,Water,FD,,,0.024,99.32%,,,,,Macroporous (flakes),,,,,
12607,FD,Adsorbent,Monolith,PET fibers,"GO, PVA",,K,"N, E",,cp,wa,GO (7 g/L) suspension + PVA + terephthalic acid + HCl (frozen),Chemical (polymerization)?,Water,FD,,,0.023,99.34%,,,,,Macroporous (flakes),,,,,
12608,FD,Adsorbent,Monolith,PET fibers,"GO, PVA",,K,"N, E",,cp,wa,GO (9 g/L) suspension + PVA + terephthalic acid + HCl (frozen),Chemical (polymerization)?,Water,FD,,,0.024,99.32%,,,,,Macroporous (flakes),,,,,
12609,FD,Adsorbent,Monolith,PET fibers,"GO, PVA",PDMS treatment,K,"N, E",Si,cp,wa,GO suspension + PVA + terephthalic acid + HCl (frozen),Chemical (polymerization)?,Water,FD,Post-PDMS treatment,,,,,,,,Macroporous (flakes),,,,,
12610,FD,Steam generation,Monolith,Cellulose,,,B,,,ng,wa,"Rice straw (hydrothermal, frozen)",No gelation,Water,FD,,,,,,,,,Macroporous (cellular),,,,,
12611,FD,Scaffold,Monolith (3D),Cellulose nanofibers,Polyethylene glycol diacrylate,,K,R,,cc,wa,Cellulose nanofiber suspension + polyethylene glycol diacrylate (frozen),Chemical?,Water,FD,,,,,,,,0.58,Macroporous (flakes),,,,,
12612,APD,Sensors,Monolith,PVA,GO,Polyurethane foam,E,N,Mx,ng,wa,"Polyurethane foam + GO suspension + PVA solution + ethylenediamine (hydrothermal, feeze-thaw)",No gelation,Water,APD,,,,,,,,,Macroporous (flakes),,,,,
12613,FD,Adsorbent,Monolith?,Carboxymethyl cellulose,Polypyrrole,,A,M,,pp,wa,Carboxymethyl cellulose solution + FeCl3 solution L pyrrole (freeze-thaw) (frozen,Physical?,Water,FD,,,,,,,,,,,,,,
12614,FD,Thermal insulation,Monolith,Cellulose nanofibers,,,K,,,"pc, pp",wa,Cellulose nanofiber suspension (frozen),"Physical (Mn+, pH)",Water,FD,,,0.0065,94.70%,,,,0.0094,Macroporous (cellular),0.0278,Transient,Hot disk,,
12615,FD,Thermal insulation,Monolith,Cellulose nanofibers,Alginate,,K,A,,"pc, pp",wa,Cellulose nanofiber suspension + alginate solution + boric acid (frozen),"Physical (Mn+, pH)",Water,FD,,,0.0082,86.60%,,,,0.0228,Macroporous (cellular),0.0341,Transient,Hot disk,,
12616,FD,Thermal insulation,Monolith,Cellulose nanofibers,Alginate,,K,A,,"pc, pp",wa,Cellulose nanofiber suspension + alginate solution + CaCO3 + glucono-d-lactone (frozen),"Physical (Mn+, pH)",Water,FD,,,0.0073,87.40%,,,,0.0284,Macroporous (cellular),0.0312,Transient,Hot disk,,
12617,FD,Thermal insulation,Monolith,Cellulose nanofibers,Alginate,,K,A,,"pc, pp",wa,Cellulose nanofiber suspension + alginate solution + CaCO3 + glucono-d-lactone + boric acid (frozen),"Physical (Mn+, pH)",Water,FD,,,0.0097,85.80%,,,,0.0287,Macroporous (cellular),0.0362,Transient,Hot disk,,
12618,FD,Not specific,Monolith,Lignocellulose,,,B,,,pp,al,Lignocellulose-NaOH solution + LiBr (2 g/L) solution (hydrothermal) + ethanol-t-butanol,Physical (antisolvent),t-Butanol,FD,,,0.1964,,153.4,,,,Macroporous (fibrous),,,,,
12619,FD,Not specific,Monolith,Lignocellulose,,,B,,,pp,al,Lignocellulose-NaOH solution + LiBr (2 g/L) solution (hydrothermal) + ethanol-t-butanol,Physical (antisolvent),t-Butanol,FD,,,0.2151,,139.3,,,,Macroporous (fibrous),,,,,
12620,FD,Not specific,Monolith,Lignocellulose,,,B,,,pp,al,Lignocellulose-NaOH solution + LiBr (4 g/L) solution (hydrothermal) + ethanol-t-butanol,Physical (antisolvent),t-Butanol,FD,,,0.2009,,116.1,,,,Macroporous (fibrous),,,,,
12621,FD,Not specific,Monolith,Lignocellulose,,,B,,,pp,al,Lignocellulose-NaOH solution + LiBr (4 g/L) solution (hydrothermal) + ethanol-t-butanol,Physical (antisolvent),t-Butanol,FD,,,0.2035,,110.4,,,,Macroporous (fibrous),,,,,
12622,FD,Not specific,Monolith,Lignocellulose,,,B,,,pp,al,Lignocellulose-NaOH solution + LiBr (6 g/L) solution (hydrothermal) + ethanol-t-butanol,Physical (antisolvent),t-Butanol,FD,,,0.1954,,115.6,,,,Macroporous (fibrous),,,,,
12623,FD,Not specific,Monolith,Lignocellulose,,,B,,,pp,al,Lignocellulose-NaOH solution + LiBr (6 g/L) solution (hydrothermal) + ethanol-t-butanol,Physical (antisolvent),t-Butanol,FD,,,0.2243,,89.82,,,,Macroporous (fibrous),,,,,
12624,FD,Not specific,Monolith,Lignocellulose,,,B,,,pp,al,Lignocellulose-NaOH solution + LiBr (8 g/L) solution (hydrothermal) + ethanol-t-butanol,Physical (antisolvent),t-Butanol,FD,,,0.2214,,40.7,,,,Macroporous (fibrous),,,,,
12625,FD,Not specific,Monolith,Lignocellulose,,,B,,,pp,al,Lignocellulose-NaOH solution + LiBr (8 g/L) solution (hydrothermal) + ethanol-t-butanol,Physical (antisolvent),t-Butanol,FD,,,0.228,,37.32,,,,Macroporous (fibrous),,,,,
12626,FD,Not specific,Monolith,Lignocellulose,,,B,,,pp,al,Lignocellulose-NaOH solution + LiBr (10 g/L) solution (hydrothermal) + ethanol-t-butanol,Physical (antisolvent),t-Butanol,FD,,,0.2313,,31.18,,,,Macroporous (fibrous),,,,,
12627,FD,Not specific,Monolith,Lignocellulose,,,B,,,pp,al,Lignocellulose-NaOH solution + LiBr (10 g/L) solution (hydrothermal) + ethanol-t-butanol,Physical (antisolvent),t-Butanol,FD,,,0.2234,,29.16,,,,Macroporous (fibrous),,,,,
12628,FD,Not specific,Monolith,Polystyrene,,,J,,,ng,wa,Poly(styrene-maleic acid) solution (frozen),No gelation,Water,FD,,,0.0192,,,,,,Macroporous (flakes),0.0274,Transient,Hot wire,,
12629,FD,Separation,Monolith,Cellulose,,,B,,,ng,wa,Delignified sugarcone (frozen),No gelation,Water,FD,,,0.0182,98.80%,33,,,,Macroporous (cellular),,,,,
12630,FD,Separation,Monolith,Cellulose,,MTMS treatment,B,,Si,ng,wa,Delignified sugarcone (frozen),No gelation,Water,FD,Post-MTMS treatment,,0.0201,98.60%,30,,,,Macroporous (cellular),,,,,
12631,FD,Adsorbent,Beads,Cellulose nanofibers,,,K,,,ng,wa,Cellulose nanofiber suspension (frozen),No gelation,Water,FD,,,,,239,,,,Macroporous (fibrous),,,,,
12632,FD,Adsorbent,Beads,Cellulose nanofibers,,Carbonized,K,,Ca,ng,wa,Cellulose nanofiber suspension (frozen),No gelation,Water,FD,Post-calcination at 800 °C,,,,932,,,,Macroporous (fibrous),,,,,
12633,FD,Adsorbent (gas),Monolith,Cellulose,,,B,,,pp,wa,Cellulose-NaOH-urea solution (freeze-thaw) (frozen),Physical?,Water,FD,,,0.098,,89,,,,Macroporous (cellular),,,,,
12634,FD,Adsorbent (gas),Monolith,Cellulose,Polyethyleneimine,,B,E,,pp,wa,"1,2-Epoxybutane + polyethyleneimine solution + cellulose-NaOH-urea solution + epichlorohydrin (freeze-thaw) (frozen)",Physical?,Water,FD,,,0.072,,79,,,,Macroporous (cellular),,,,,
12635,FD,Adsorbent (gas),Monolith,Cellulose,Polyethyleneimine,,B,E,,pp,wa,"1,2-Epoxybutane + polyethyleneimine solution + water (10 mL) cellulose-NaOH-urea solution + epichlorohydrin (freeze-thaw) (frozen)",Physical?,Water,FD,,,0.048,,118,,,,Macroporous (cellular),,,,,
12636,FD,Adsorbent (gas),Monolith,Cellulose,Polyethyleneimine,,B,E,,pp,wa,"1,2-Epoxybutane + polyethyleneimine solution + water (20 mL) cellulose-NaOH-urea solution + epichlorohydrin (freeze-thaw) (frozen)",Physical?,Water,FD,,,0.037,,150,,,,Macroporous (cellular),,,,,
12637,FD,Adsorbent (gas),Monolith,Cellulose,Polyethyleneimine,,B,E,,pp,wa,"1,2-Epoxybutane + polyethyleneimine solution + water (30 mL) cellulose-NaOH-urea solution + epichlorohydrin (freeze-thaw) (frozen)",Physical?,Water,FD,,,0.042,,105,,,,Macroporous (cellular),,,,,
12638,FD,Adsorbent (gas),Monolith,Cellulose,Polyethyleneimine,,B,E,,pp,wa,"1,2-Epoxybutane + polyethyleneimine solution + water (40 mL) cellulose-NaOH-urea solution + epichlorohydrin (freeze-thaw) (frozen)",Physical?,Water,FD,,,0.052,,98,,,,Macroporous (cellular),,,,,
12639,FD,Thermal insulation,Monolith,Chitosan,,MTMS treatment,A,,Si,ng,wa,Chitosan (4 wt%) solution (frozen),No gelation,Water,FD,Post-MTMS treatment,,0.0637,,,,,2.69,Macroporous (cellular),0.032,Transient,Hot disk,,
12640,FD,Thermal insulation,Monolith,Chitosan,,MTMS treatment,A,,Si,ng,wa,Chitosan (6 wt%) solution (frozen),No gelation,Water,FD,Post-MTMS treatment,,0.0919,,,,,2.95,Macroporous (cellular),0.032,Transient,Hot disk,,
12641,FD,Thermal insulation,Monolith,Chitosan,,MTMS treatment,A,,Si,ng,wa,Phosphorylated chitosan (4 wt%) solution (frozen),No gelation,Water,FD,Post-MTMS treatment,,0.0526,,,,,1.72,Macroporous (cellular),0.034,Transient,Hot disk,,
12642,FD,Thermal insulation,Monolith,Chitosan,,MTMS treatment,A,,Si,ng,wa,Phosphorylated chitosan (6 wt%) solution (frozen),No gelation,Water,FD,Post-MTMS treatment,,0.0883,,,,,1.96,Macroporous (cellular),0.04,Transient,Hot disk,,
12643,FD,Adsorbent,Monolith,GO,,,N,,,pp,wa,"GO suspension + urea (hydrothermal, frozen)",Physical (aggregation),Water,FD,,,0.0085,,,,,,Macroporous (flakes),,,,,
12644,FD,Adsorbent,Monolith,GO,Alginate,,N,A,,pp,wa,"GO suspension + urea + enteromorpha (hydrothermal, frozen)",Physical (aggregation),Water,FD,,,0.0063,,,,,,Macroporous (flakes),,,,,
12645,FD,Adsorbent,Monolith,GO,PEG,,N,E,,pp,wa,"GO suspension + urea + PEG (hydrothermal, frozen)",Physical (aggregation),Water,FD,,,0.0076,,,,,,Macroporous (flakes),,,,,
12646,FD,Filters,Monolith,Cellulose nanofibers,,,K,,,ng,wa,Cellulose nanofiber suspension + polyhydroxyalkanoate (frozen),No gelation,Water,FD,Post-heat treatment,,0.005,,84,,,,Macroporous (cellular),,,,,
12647,FD,Adsorbent,Monolith,Cellulose,,,B,,,ng,wa,Cellulose suspension (frozen),No gelation,Water,FD,,,0.035,,,,,,Macroporous (fibrous and flakes),,,,,
12648,FD,Adsorbent,Monolith,Cellulose,Polytetrafluoroethylene,,B,M,,ng,wa,Polytetrafluoroethylene (10%) suspension + cellulose (frozen),No gelation,Water,FD,,,0.08,,,,,,Macroporous (fibrous and flakes),,,,,
12649,FD,Adsorbent,Monolith,Cellulose,Polytetrafluoroethylene,,B,M,,ng,wa,Polytetrafluoroethylene (20%) suspension + cellulose (frozen),No gelation,Water,FD,,,0.075,,,,,,Macroporous (fibrous and flakes),,,,,
12650,FD,Adsorbent,Monolith,Cellulose,Polytetrafluoroethylene,,B,M,,ng,wa,Polytetrafluoroethylene (30%) suspension + cellulose (frozen),No gelation,Water,FD,,,0.075,,,,,,Macroporous (fibrous and flakes),,,,,
12651,FD,Adsorbent,Monolith,Cellulose,Polytetrafluoroethylene,,B,M,,ng,wa,Polytetrafluoroethylene (40%) suspension + cellulose (frozen),No gelation,Water,FD,,,0.08,,,,,,Macroporous (fibrous and flakes),,,,,
12652,FD,"Sound insulation, thermal insulation",Monolith,Carboxymethyl cellulose,,,A,,,cc,wa,Carboxymethyl cellulose + glutaraldehyde solution (frozen),Chemical (aldehyde),Water,FD,,,0.0389,97.01%,14,,,0.0393,Macroporous (flakes),0.06564,Transient,Hot disk,,
12653,FD,"Sound insulation, thermal insulation",Monolith,Carboxymethyl cellulose,Down feather fibers,,A,L,,cc,wa,Down feather fiber suspension + SDBS + carboxymethyl cellulose (1:300) + glutaraldehyde solution (frozen),Chemical (aldehyde),Water,FD,,,0.0405,96.88%,,,,0.0737,Macroporous (flakes),0.06374,Transient,Hot disk,,
12654,FD,"Sound insulation, thermal insulation",Monolith,Carboxymethyl cellulose,Down feather fibers,,A,L,,cc,wa,Down feather fiber suspension + SDBS + carboxymethyl cellulose (1:180) + glutaraldehyde solution (frozen),Chemical (aldehyde),Water,FD,,,0.041,96.84%,,,,0.0892,Macroporous (flakes),0.06327,Transient,Hot disk,,
12655,FD,"Sound insulation, thermal insulation",Monolith,Carboxymethyl cellulose,Down feather fibers,,A,L,,cc,wa,Down feather fiber suspension + SDBS + carboxymethyl cellulose (1:90) + glutaraldehyde solution (frozen),Chemical (aldehyde),Water,FD,,,0.0416,96.80%,,,,0.114,Macroporous (flakes),0.06123,Transient,Hot disk,,
12656,FD,"Sound insulation, thermal insulation",Monolith,Carboxymethyl cellulose,Down feather fibers,,A,L,,cc,wa,Down feather fiber suspension + SDBS + carboxymethyl cellulose (1:60) + glutaraldehyde solution (frozen),Chemical (aldehyde),Water,FD,,,0.0428,96.70%,39,,,0.1946,Macroporous (flakes),0.06012,Transient,Hot disk,,
12657,FD,"Adsorbent, separation",Sheet,Alginate,,,A,,,pc,wa,Alginate solution + CaCl2 solution (frozen),Physical (Mn+),Water,FD,,,,,,,,,Macroporous (cellular),,,,,
12658,FD,"Adsorbent, separation",Sheet,Alginate,,,A,,,pc,wa,Alginate-tetrabutylammonium hydroxide solution + CaCl2 solution (frozen),Physical (Mn+),Water,FD,,,,,,,,,Macroporous (cellular),,,,,
12659,FD,"Adsorbent, separation",Sheet,Alginate,Polyurethane,,A,H,,pc,wa,Alginate-tetrabutylammonium hydroxide-polyurethane solution + CaCl2 solution (frozen),Physical (Mn+),Water,FD,,,,,,,,,Macroporous (cellular),,,,,
12660,FD,Adsorbent,Monolith,Cellulose,GO,ZnO decoration,B,N,Lo,ng,wa,Cellulose nanofiber suspension + GO-ZnO suspension (frozen),No gelation,Water,FD,,,,,,,,,Macroporous (flakes),,,,,
12661,FD,Not specific,Monolith,Cellulose nanofibers,,MTMS treatment,K,,Si,ng,wa,MTMS treated bacterial cellulose nanofiber suspension (frozen),No gelation,Water,FD,,,0.0117,99.30%,,,,0.0394,Macroporous (fibrous and flakes),,,,,
12662,FD,Not specific,Monolith,Cellulose nanofibers,,MTMS treatment,K,,Si,ng,wa,MTMS treated bacterial cellulose (permeate) nanofiber suspension (frozen),No gelation,Water,FD,,,0.0112,99.40%,,,,0.0031,Macroporous (fibrous and flakes),,,,,
12663,FD,Not specific,Monolith,Cellulose nanofibers,,MTMS treatment,K,,Si,ng,wa,MTMS treated eucalyptus cellulose nanofiber suspension (frozen),No gelation,Water,FD,,,0.0112,99.40%,,,,0.0107,Macroporous (fibrous and flakes),,,,,
12664,FD,Adsorbent,Monolith,Starch,,,A,,,pp,wa,Starch solution + citric acid (1:1) (frozen),Physical?,Water,FD,,,,,403,,0.42,0.1074,Macroporous (cellular),,,,,
12665,FD,Adsorbent,Monolith,Starch,,,A,,,pp,wa,Starch solution + citric acid (1:1.5) (frozen),Physical?,Water,FD,,,,,198,,0.24,0.1005,Macroporous (cellular),,,,,
12666,FD,Adsorbent,Monolith,Starch,,,A,,,pp,wa,Starch solution + citric acid (1:2) (frozen),Physical?,Water,FD,,,,,184,,0.18,0.123,Macroporous (cellular),,,,,
12667,SCD,Thermal insulation,Monolith,Polybenzoxazine,,Hydrophobic SiO2 decoration,M,,Lo,cp,al,Benzoxazine monomer + hydrophobic SiO2 suspension (solvothermal),Chemical (polymerization),Ethanol,SCD,,,0.237,90.70%,296,,,,Mesoporous (nanoparticulate),0.03012,Transient,Hot disk,,
12668,FD,Adsorbent,Monolith,Chitosan,Aloe vera,,A,L,,ng,wa,Chitosan solution + aloe vera + NH4HCO3 (frozen),No gelation,Water,FD,,,,,,,,,Macroporous (flakes),,,,,
12669,FD,Separation,Microbeads,Starch,,,A,,,pp,al,Starch solution in W/O emulsion (cooling),Physical?,Ethanol?,FD,,,,50%,,,,,Microparticles,,,,,
12670,FD,Separation,Microbeads,Starch,,,A,,,pp,al,Starch solution in W/O emulsion + tripolyphosphate (cooling),Physical?,Ethanol?,FD,,,,80%,,,,,Microparticles,,,,,
12671,Commercial,Batteries,Sheet,Polyimide,,,G,,,uk,uk,Commercial polyimide (Airloy X116),Unknown,Unknown,Unknown,,,0.09,90%,208,,,,Mesoporous (nanofibrous),,,,,
12672,SCD,Thermal insulation,Monolith,Polyimine,,,G,,,cp,ow,Hexa-vanillin terminated cyclophosphazene + tris(2-aminoethyl)amine in DMAc ,Chemical (polymerization),Acetone,SCD,,,0.1558,90.52%,173,11.6,0.54,0.187,Mesoporous (nanoparticulate),0.0182,Steady state,HFM,,
12673,SCD,Thermal insulation,Monolith,Polyimine,,,G,,,cp,ow,Hexa-vanillin terminated cyclophosphazene + tris(2-aminoethyl)amine + 2-ethylhexylamine in DMAc,Chemical (polymerization),Acetone,SCD,,,0.1662,89.26%,184,11.2,0.59,0.276,Mesoporous (nanoparticulate),0.0172,Steady state,HFM,,
12674,SCD,Thermal insulation,Monolith,Polyimine,,,G,,,cp,ow,Hexa-benzaldehyde terminated cyclophosphazene + tris(2-aminoethyl)amine in DMAc ,Chemical (polymerization),Acetone,SCD,,,0.1237,90.97%,90,8.7,0.19,0.12,Mesoporous (nanoparticulate),0.0241,Steady state,HFM,,
12675,SCD,Thermal insulation,Monolith,Polyimine,,,G,,,cp,ow,Hexa-benzaldehyde terminated cyclophosphazene + tris(2-aminoethyl)amine + 2-ethylhexylamine in DMAc ,Chemical (polymerization),Acetone,SCD,,,0.1468,89.21%,88,11.2,0.29,0.203,Mesoporous (nanoparticulate),0.022,Steady state,HFM,,
12676,FD,Steam generation,Monolith,Cellulose nanofibers,PVA,3-Glycidoxypropyltrimethoxysilane modification,K,E,Si,ng,wa,Cellulose nanofiber suspension + PVA + 3-glycidoxypropyltrimethoxysilane solution (frozen) + carbonized lignin ,No gelation,Water,FD,,,,,,,,,Macroporous (flakes),,,,,
12677,FD,PCM support,Monolith,Cellulose,GO,PEG loading,B,N,Lo,pp,wa,"Seed waste + GO suspension + ethylenediamine (hydrothermal, frozen)",Physical (aggregation),Water,FD,Post-PEG loading,,,,23,,,,Macroporous (flakes),,,,,
12678,APD,Dielectric devices,Sheet,Aramid fibers,,,K,,,pp,wa,Aramid fiber suspension in KOH-DMSO + water (filteration) + water,Physical (antisolvent),Water,APD,,,1.3,10%,,,,,Macroporous (cellular and fibrous),,,,,
12679,APD,Dielectric devices,Sheet,Aramid fibers,,,K,,,pp,al,Aramid fiber suspension in KOH-DMSO + water (filteration) + ethanol,Physical (antisolvent),Ethanol,APD,,,0.9,40%,,,,,Macroporous (cellular and fibrous),,,,,
12680,APD,Dielectric devices,Sheet,Aramid fibers,,,K,,,pp,al,Aramid fiber suspension in KOH-DMSO + water (filteration) + isopropanol,Physical (antisolvent),Isopropanol,APD,,,0.8,50%,,,,,Macroporous (cellular and fibrous),,,,,
12681,APD,Dielectric devices,Sheet,Aramid fibers,,,K,,,pp,"al, or",Aramid fiber suspension in KOH-DMSO + water (filteration) + ethanol-octane,Physical (antisolvent),Ethanol-octane,APD,,,0.6,60%,,,,,Macroporous (cellular and fibrous),,,,,
12682,APD,Dielectric devices,Sheet,Aramid fibers,,,K,,,pp,"al, or",Aramid fiber suspension in KOH-DMSO + water (filteration) + ethanol-hexane,Physical (antisolvent),Ethanol-hexane,APD,,,0.5,70%,,,,,Macroporous (cellular and fibrous),,,,,
12683,FD,Adsorbent,Monolith,Cellulose,"PVA, GO",,B,"E, N",,ng,wa,Waste paper-GO suspension + PVA solusion (frozen),No gelation,Water,FD,,,,,,,,,Macroporous (flakes),,,,,
12684,FD,Sound insulation,Monolith,Polypropylene fibers,PVA,,K,E,,ng,wa,Polypropyrene fiber suspension + PVA solution (frozen),No gelation,Water,FD,,,0.05,,,,,,Macroporous (fibrous),,,,,
12685,FD,Generators,Monolith,PVA,GO,,E,N,,cc,wa,PVA solution + t-butanol + ionic-liquid-GO suspension + glutaraldehyde solution (frozen),Chemical (aldehyde),Water,FD,,,0.034,,120,,,,Macroporous (flakes),,,,,
12686,FD,Antibacterial,Monolith,GO,,Amino trimethylene phosphonic acid,N,,Al,pp,wa,"GO suspension + amino trimethylene phosphonic acid (hydrothermal, frozen)",Physical (aggregation),Water,FD,,,0.0122,,127,,,,Macroporous (fibrous and flakes),,,,,
12687,FD,Antibacterial,Monolith,Polyacrylonitrile fibers,GO,Amino trimethylene phosphonic acid,K,N,Al,pp,wa,"Polyacrylonitrile fibers (electrospun) + GO suspension (1:1) + amino trimethylene phosphonic acid (hydrothermal, frozen)",Physical (aggregation),Water,FD,,,0.0264,,35,,,,Macroporous (fibrous and flakes),,,,,
12688,FD,Antibacterial,Monolith,Polyacrylonitrile fibers,GO,Amino trimethylene phosphonic acid,K,N,Al,pp,wa,"Polyacrylonitrile fibers (electrospun) + GO suspension (2:1) + amino trimethylene phosphonic acid (hydrothermal, frozen)",Physical (aggregation),Water,FD,,,0.0269,,33,,,,Macroporous (fibrous and flakes),,,,,
12689,FD,Antibacterial,Monolith,Polyacrylonitrile fibers,GO,Amino trimethylene phosphonic acid,K,N,Al,pp,wa,"Polyacrylonitrile fibers (electrospun) + GO suspension (4:1) + amino trimethylene phosphonic acid (hydrothermal, frozen)",Physical (aggregation),Water,FD,,,0.0312,,21,,,,Macroporous (fibrous and flakes),,,,,
12690,FD,Thermal insulation,Fibers,Kevlar,,,K,,,pp,"al, wa","Kevlar (4 wt%) in DMSO (wet spun, 13G) + water-t-butanol",Physical (antisolvent),t-Butanol-water,FD,,,0.089,93.80%,97,,,,Macroporous (fibrous),,,,,
12691,FD,Thermal insulation,Fibers,Kevlar,,,K,,,pp,"al, wa","Kevlar (4 wt%) in DMSO (wet spun, 14G) + water-t-butanol",Physical (antisolvent),t-Butanol-water,FD,,,0.08,94.40%,,,,,Macroporous (fibrous),,,,,
12692,FD,Thermal insulation,Fibers,Kevlar,,,K,,,pp,"al, wa","Kevlar (4 wt%) in DMSO (wet spun, 15G) + water-t-butanol",Physical (antisolvent),t-Butanol-water,FD,,,0.052,96.40%,143,,,,Macroporous (fibrous),,,,,
12693,FD,Thermal insulation,Fibers,Kevlar,,,K,,,pp,"al, wa","Kevlar (6 wt%) in DMSO (wet spun, 15G) + water-t-butanol",Physical (antisolvent),t-Butanol-water,FD,,,0.194,86.40%,79,,,,Macroporous (fibrous),,,,,
12694,FD,Thermal insulation,Fibers,Kevlar,,,K,,,pp,"al, wa","Kevlar (8 wt%) in DMSO (wet spun, 15G) + water-t-butanol",Physical (antisolvent),t-Butanol-water,FD,,,0.214,85.10%,94,,,,Macroporous (fibrous),,,,,
12695,FD,Thermal insulation,Fibers,Kevlar,,,K,,,pp,"al, wa","Kevlar (10 wt%) in DMSO (wet spun, 15G) + water-t-butanol",Physical (antisolvent),t-Butanol-water,FD,,,0.295,78.50%,135,,,,Macroporous (fibrous),,,,,
12696,FD,Thermal insulation,Fibers,Kevlar,,,K,,,pp,"al, wa","Kevlar (4 wt%) in DMSO (wet spun, 17G) + water-t-butanol",Physical (antisolvent),t-Butanol-water,FD,,,0.098,93.20%,81,,,,Macroporous (fibrous),,,,,
12697,FD,Thermal insulation,Sheet,Polyimide,,,G,,,ng,wa,"Poly(amic acid) from (4,4'-oxydianiline + 1,2,4,5-benzenetetracarboxylic anhydride) solution (frozen)?",No gelation,Water,FD,Post-calcination at 300 °C,,0.126,,,,,0.081,Macroporous (flakes),0.095,Transient,TWA,,
